platform,rating,text,date,thumbsUp,reviewer
Just Eat,1,you are robbing me,2025-08-20 04:13:52,0,Nuala Shine
Just Eat,5,"Excellent service , delicious food !",2025-08-19 20:58:06,0,Christine Phelan
Just Eat,5,pretty good app,2025-08-18 22:32:12,0,Jurgeren
Just Eat,5,class,2025-08-17 03:20:49,0,Breffni Carter
Just Eat,5,makes order food easy in Dublin Ireland,2025-08-15 23:38:40,0,cathal donohoe
Just Eat,1,"extortionate pricing and added fees. when issues with drivers not delivering food, alot of response/support from justeat",2025-08-14 20:46:50,0,Alison Ward
Just Eat,5,"Great food, super fast delivery",2025-08-10 21:29:36,1,Paul Murphy
Just Eat,1,bad,2025-08-06 20:40:01,0,Richard
Just Eat,1,"For an app as big and popular as this, it has the option of ordering a previous order I made, but yet does not save the message I put into the previous order, eg no veg on a certain item, very frustrating when I forget to put in this message in a new order that was in my previous order. Surely, it is easy to add an option to save this message for any future orders. And now we are unable to click on order again, which is quick and convenient. You also need to add the time the order was made.",2025-08-06 02:21:35,5,John Begley
Just Eat,5,"sorry I wanted the order today, it said tomorrow",2025-08-04 17:49:42,0,cheryl murphy
Just Eat,5,Perfect,2025-08-03 03:41:45,0,Carol loop
Just Eat,5,great 👍🏻,2025-08-02 20:31:30,0,Frank Walsh
Just Eat,5,a convenient way to order some food,2025-08-01 23:44:47,3,Sheila Ahearne
Just Eat,5,Always good service 👍,2025-08-01 21:09:29,0,Daiva Vyte
Just Eat,1,usually food delivery is OK but if any issue with order they give you 50% back on your order and don't offer a full refund or even a reorder especially on cold food which is ridiculous then you are waiting up to 24 hrs for the issue to be rectified...,2025-07-31 20:53:09,0,Daniel Lawlor
Just Eat,5,love eating takeaway out of here its my go to place for Chinese,2025-07-31 20:04:00,0,Lorraine Russell
Just Eat,5,We love to use app 🤪,2025-07-31 01:05:18,0,L W
Just Eat,5,the app is user friendly they have came so far,2025-07-31 00:37:59,0,Dar
Just Eat,1,"This app is absolutely horrible. They have delivery personnel who do not even contact me for the food that I have ordered, and they mark it as delivered and probably run off with the food. And this has happened multiple times with me. Each time they issue a refund and I have to go about waiting for my food again, and a refund that takes 4 days to appear. WORTH ZERO STARS. DO NOT USE THIS APP.",2025-07-29 01:27:32,3,Suraj Shenoy
Just Eat,5,always speedy delivery and food of great quality,2025-07-26 22:35:47,0,Kevin O'Connor
Just Eat,1,I ordered last week and no 🍟,2025-07-26 00:38:49,0,Gillian Delaney
Just Eat,2,No ability to filter search results,2025-07-24 23:33:45,0,Fiona Kilcullen
Just Eat,1,11% service charge plus 3.99 delivery charge but when you visit any site off app you see every price is inflated on top,2025-07-23 01:26:35,0,warren o connor
Just Eat,5,handy to find restaurants where ever you are,2025-07-22 23:29:34,0,Cait Riordan
Just Eat,5,Great service,2025-07-22 04:42:05,0,Ryan Mythen
Just Eat,1,voucher disappeared and support wasn't able to re-add.,2025-07-18 23:57:13,0,Tommaso Cosentino
Just Eat,5,they have prepared the food on time and it was very delicious,2025-07-18 22:05:13,0,Nonus Noah
Just Eat,1,refused refund,2025-07-18 20:21:29,0,Col Mac
Just Eat,1,"since I got a new phone, I haven't been able to get past the welcome page, I can view privacy and terms and conditions, but that's it, I've tried uninstalling it twice same every time",2025-07-14 21:32:31,0,Tracey Ap
Just Eat,1,"Twice now I've had orders flagged as delivered when they haven't arrive. Just Eat Ireland, no interest in resolving the issue or offering refund.",2025-07-12 00:33:46,0,David Kearns
Just Eat,1,Terrible service... abysmal customer support... your lucky if your order is correct most of the time... avoid and use restaurants that use in-house delivery services,2025-07-11 19:18:35,1,Richard Clarke
Just Eat,5,essentially brilliant,2025-07-10 23:04:41,0,Padraig O'Mahony
Just Eat,2,1.some orders got mixed up or missing. 2. aggressive leftism propaganda.,2025-07-10 21:06:55,0,mantas brizgys
Just Eat,1,worst customer experience,2025-07-08 22:04:36,0,NIved Janardhan
Just Eat,1,"Absolute joke of a company. So unhelpful. Poor service. Highly recommend using your oven instead, it's way less hassle than these clowns",2025-07-06 22:55:54,0,Rob Doran
Just Eat,1,This app is abysmal they relentlessly overcharge for the delivery cost and I can't use pay cash on delivery option anymore so if I only have cash I can't use the app to get food. The only time I ever use this app is because they accept one4all vouchers. Much better off using takeaways independent apps or even better just call them. Just Eat is terrible.,2025-07-06 01:37:06,0,harrrry hairy
Just Eat,5,"Great App, very easy to use",2025-07-05 20:53:49,0,Ann Kilmartin
Just Eat,5,anyone who loves food but lazy to go to the shop and make it or buy. this is the best app for you,2025-07-03 03:18:44,0,Emlyn lijo
Just Eat,5,Very easy to order via Just Eat. Sometimes they give you a voucher which is fantastic as it rewards you and encourages you to order again.,2025-07-03 00:26:36,12,Naomi Butt
Just Eat,5,previous orders were fast,2025-06-29 00:38:51,0,lorato lekoko
Just Eat,5,good food,2025-06-28 22:57:22,0,Angela OKeeffe
Just Eat,3,It does it's job.,2025-06-28 22:05:54,0,leigh young
Just Eat,5,Great food,2025-06-28 16:41:40,0,Glen Doyle
