Platform,Total Reviews,Average Rating,5 Star,4 Star,3 Star,2 Star,1 Star
Deliveroo,200,1.08,3,0,1,2,194
Just Eat,200,2.78,69,17,10,8,96
Uber Eats,200,1.12,4,0,2,5,189
